Date,Open,High,Low,Close,Volume,Cluster
2020-07-02,239.0,240.0,232.610001,233.419998,30633600.0,0
2020-07-01,228.5,239.0,227.559998,237.550003,43399700.0,0
2020-06-30,220.589996,227.5,218.470001,227.070007,33927100.0,0
2020-06-29,209.75,220.75,207.110001,220.639999,58514300.0,0
2020-06-26,232.639999,233.089996,215.399994,216.080002,76343900.0,0
2020-06-25,234.619995,237.300003,232.740005,235.679993,18704300.0,0
2020-06-24,241.199997,243.220001,232.679993,234.020004,20834900.0,0
2020-06-23,241.279999,245.190002,239.860001,242.240005,24017900.0,0
2020-06-22,238.559998,240.699997,236.910004,239.220001,18917800.0,0
2020-06-19,237.789993,240.830002,235.550003,238.789993,30081300.0,0
2020-06-18,234.990005,236.139999,232.149994,235.940002,15782500.0,0
2020-06-17,235.0,237.589996,231.729996,235.529999,19578100.0,0
2020-06-16,237.139999,238.460007,233.0,235.649994,15236700.0,0
2020-06-15,225.089996,233.770004,224.800003,232.5,15340300.0,0
2020-06-12,229.899994,231.660004,224.5,228.580002,22091400.0,0
2020-06-11,229.940002,232.889999,223.550003,224.429993,26708200.0,0
2020-06-10,240.960007,241.210007,235.279999,236.729996,20720700.0,0
2020-06-09,231.520004,239.770004,230.410004,238.669998,27462900.0,0
2020-06-08,229.029999,231.550003,227.410004,231.399994,15466500.0,0
2020-06-05,226.710007,231.350006,225.309998,230.770004,16750400.0,0
2020-06-04,229.559998,231.630005,224.610001,226.289993,17041500.0,0
2020-06-03,232.110001,232.649994,228.529999,230.160004,15380300.0,0
2020-06-02,230.940002,233.0,226.559998,232.720001,20919000.0,0
2020-06-01,224.589996,232.440002,223.5,231.910004,18223800.0,0
2020-05-29,225.199997,227.490005,222.880005,225.089996,23241500.0,0
2020-05-28,224.300003,231.630005,224.0,225.460007,29377200.0,0
2020-05-27,229.070007,230.559998,221.130005,229.139999,34697600.0,0
2020-05-26,239.770004,240.899994,231.669998,232.199997,33178300.0,0
2020-05-22,231.509995,235.990005,228.740005,234.910004,33925600.0,0
2020-05-21,234.720001,237.199997,231.199997,231.389999,47782600.0,0
2020-05-20,223.5,231.339996,223.190002,229.970001,50162900.0,0
2020-05-19,213.270004,220.490005,212.830002,216.880005,31843200.0,0
2020-05-18,212.149994,214.639999,210.940002,213.190002,20151900.0,0
2020-05-15,205.270004,211.339996,204.119995,210.880005,19383200.0,0
2020-05-14,202.559998,206.929993,200.690002,206.809998,17178900.0,0
2020-05-13,209.429993,210.779999,202.110001,205.100006,20684600.0,0
2020-05-12,213.289993,215.279999,210.0,210.100006,14704600.0,0
2020-05-11,210.889999,215.0,210.369995,213.179993,12911900.0,0
2020-05-08,212.240005,213.210007,210.850006,212.350006,12506000.0,0
2020-05-07,211.160004,211.600006,209.039993,211.259995,15152000.0,0
2020-05-06,208.119995,211.600006,206.660004,208.470001,21857000.0,0
2020-05-05,207.020004,210.380005,206.5,207.070007,21071200.0,0
2020-05-04,200.199997,205.910004,198.759995,205.259995,19250700.0,0
2020-05-01,201.600006,207.279999,199.050003,202.270004,30415600.0,0
2020-04-30,206.919998,209.690002,201.570007,204.710007,46230100.0,0
2020-04-29,190.929993,196.910004,190.0,194.190002,45954500.0,0
2020-04-28,188.660004,189.199997,182.559998,182.910004,21731000.0,0
2020-04-27,192.660004,193.75,187.410004,187.5,29197800.0,0
2020-04-24,183.229996,190.410004,180.830002,190.070007,28792000.0,0
2020-04-23,184.080002,187.050003,183.149994,185.130005,21426600.0,0
2020-04-22,178.449997,184.779999,178.139999,182.279999,33242000.0,0
2020-04-21,175.25,175.380005,168.339996,170.800003,24850500.0,0
2020-04-20,177.410004,180.5,176.770004,178.240005,16110700.0,0
2020-04-17,179.199997,180.279999,176.660004,179.240005,20974800.0,0
